nu,lmbda,BC_x,BC_y,init,solver,dt,t_end,notes
0.5,1.0,periodic,periodic,random-gaussian,rk4,0.01,40,standard KPZ
0.5,2.0,periodic,periodic,random-gaussian,rk4,0.01,30,stronger growth
1.0,1.0,periodic,periodic,random-gaussian,rk4,0.01,35,higher diffusion
0.2,1.0,periodic,periodic,sine,rk4,0.01,50,low diffusion
0.5,0.5,no-flux,no-flux,random-gaussian,rk4,0.01,40,weaker nonlinearity
0.3,1.5,periodic,periodic,gaussian-blobs,rk4,0.01,45,localized start
0.5,1.0,periodic,periodic,rectangle-grid,rk4,0.01,40,patchwork init
0.5,1.0,no-flux,no-flux,rectangle-grid,rk4,0.01,40,patchwork bounded
