mu,omega,Du,Dv,BC_x,BC_y,init,solver,dt,t_end,notes
1.0,1.0,0.1,0.1,periodic,periodic,random-gaussian,rk4,0.005,40,standard VdP
2.0,1.0,0.1,0.1,periodic,periodic,random-gaussian,rk4,0.005,30,stronger nonlinearity
1.0,2.0,0.1,0.1,periodic,periodic,random-gaussian,rk4,0.003,25,higher frequency
0.5,1.0,0.1,0.1,periodic,periodic,random-gaussian,rk4,0.005,50,near-linear
1.0,1.0,0.2,0.2,no-flux,no-flux,gaussian-blobs,rk4,0.003,35,stronger coupling bounded
1.0,0.5,0.05,0.05,periodic,periodic,random-gaussian,rk4,0.01,60,low frequency weak coupling
1.0,1.0,0.1,0.1,periodic,periodic,rectangle-grid,rk4,0.005,40,patchwork init
1.0,1.0,0.1,0.1,no-flux,no-flux,rectangle-grid,rk4,0.005,40,patchwork bounded
