D,alpha,BC_x,BC_y,init,solver,dt,t_end,notes
0.5,0.1,periodic,periodic,gaussian-blobs,rk4,0.0001,50,weak nonlinearity
0.5,0.5,periodic,periodic,gaussian-blobs,rk4,0.0001,30,moderate nonlinearity
0.5,0.8,periodic,periodic,gaussian-blobs,rk4,0.0001,20,strong nonlinearity
0.3,0.1,no-flux,no-flux,gaussian-blobs,rk4,0.0001,60,clamped weak
1.0,0.2,periodic,periodic,sine,rk4,0.00005,40,stiffer plate
0.3,0.5,periodic,periodic,step,rk4,0.0001,50,flexible moderate
0.5,0.1,periodic,periodic,rectangle-grid,rk4,0.0001,50,patchwork init
0.5,0.1,no-flux,no-flux,rectangle-grid,rk4,0.0001,50,patchwork bounded
