D,BC_x,BC_y,init,solver,dt,t_end,notes
1.0,periodic,periodic,gaussian-blobs,rk4,0.0001,0.5,standard quantum
0.5,periodic,periodic,gaussian-blobs,rk4,0.0001,0.8,slower dispersion
2.0,periodic,periodic,gaussian-blobs,rk4,0.00005,0.3,faster dispersion
1.0,no-flux,no-flux,gaussian-blobs,rk4,0.0001,0.5,particle in box
1.0,periodic,periodic,sine,rk4,0.0001,0.6,plane wave
0.2,periodic,periodic,random-gaussian,rk4,0.0002,1.0,weak dispersion
1.0,periodic,periodic,rectangle-grid,rk4,0.0001,0.5,patchwork init
1.0,no-flux,no-flux,rectangle-grid,rk4,0.0001,0.5,patchwork bounded
