D,vx,vy,BC_x,BC_y,init,solver,dt,t_end,notes
0.05,0.5,0.0,periodic,periodic,gaussian-blobs,rk4,0.1,8,advection-diffusion x
0.02,0.3,0.3,periodic,periodic,gaussian-blobs,rk4,0.1,10,diagonal advection
0.1,0.5,0.0,periodic,periodic,gaussian-blobs,rk4,0.1,8,strong diffusion
0.02,-0.5,0.2,periodic,periodic,step,rk4,0.1,10,angled flow
0.05,1.0,0.0,periodic,periodic,gaussian-blobs,rk4,0.1,6,faster channel flow
0.0,0.4,0.4,periodic,periodic,gaussian-blobs,rk4,0.1,8,pure diagonal no diffusion
0.02,0.0,0.8,periodic,periodic,sine,rk4,0.1,6,vertical advection
0.05,0.5,0.0,periodic,periodic,rectangle-grid,rk4,0.1,8,patchwork init
0.05,0.5,0.0,no-flux,no-flux,rectangle-grid,rk4,0.1,8,patchwork bounded
