D,alpha,BC_x,BC_y,init,solver,dt,t_end,notes
0.05,1.0,periodic,periodic,random-uniform,rk4,0.01,100,standard RPS
0.03,1.0,periodic,periodic,random-uniform,rk4,0.01,150,slower diffusion
0.05,2.0,periodic,periodic,random-uniform,rk4,0.01,80,stronger competition
0.1,0.5,periodic,periodic,random-uniform,rk4,0.01,90,faster weak competition
0.05,1.0,no-flux,no-flux,random-uniform,rk4,0.01,100,bounded domain
0.03,1.5,periodic,periodic,gaussian-blobs,rk4,0.01,120,localized start
0.08,1.0,periodic,periodic,random-uniform,rk4,0.01,90,moderate diffusion
0.05,1.0,periodic,periodic,rectangle-grid,rk4,0.01,100,patchwork init
0.05,1.0,no-flux,no-flux,rectangle-grid,rk4,0.01,100,patchwork bounded
