a,b,Du,Dv,BC_x,BC_y,init,solver,dt,t_end,notes
0.1,0.9,0.01,1.0,periodic,periodic,random-gaussian,rk4,0.0001,30,spots D=100 ratio
0.1,0.9,0.01,0.3,periodic,periodic,random-gaussian,rk4,0.0001,40,stripes D=30 ratio
0.15,0.85,0.01,1.0,periodic,periodic,random-gaussian,rk4,0.0001,30,different spots
0.1,0.9,0.005,0.5,periodic,periodic,random-gaussian,rk4,0.0001,35,smaller Du
0.1,0.9,0.01,1.0,no-flux,no-flux,random-gaussian,rk4,0.0001,30,bounded domain
0.08,0.92,0.01,1.5,periodic,periodic,random-gaussian,rk4,0.0001,30,larger ratio
0.12,0.88,0.01,0.6,periodic,periodic,gaussian-blobs,rk4,0.0001,35,mixed patterns
0.1,0.9,0.01,1.0,periodic,periodic,rectangle-grid,rk4,0.0001,30,patchwork init
0.1,0.9,0.01,1.0,no-flux,no-flux,rectangle-grid,rk4,0.0001,30,patchwork bounded
