nu,BC_x,BC_y,init,solver,dt,t_end,notes
0.01,periodic,periodic,gaussian-blobs,rk4,0.01,10,standard decay
0.005,periodic,periodic,gaussian-blobs,rk4,0.01,20,slower decay
0.02,periodic,periodic,gaussian-blobs,rk4,0.01,8,faster decay
0.01,no-flux,no-flux,gaussian-blobs,rk4,0.01,10,bounded vortex
0.002,periodic,periodic,sine,rk4,0.02,30,nearly inviscid
0.015,periodic,periodic,random-gaussian,rk4,0.01,10,moderate decay
0.008,periodic,periodic,gaussian-blobs,rk4,0.01,15,vortex pair
0.01,periodic,periodic,rectangle-grid,rk4,0.01,10,patchwork init
0.01,no-flux,no-flux,rectangle-grid,rk4,0.01,10,patchwork bounded
